City,Customer type,Gender,Product line,Unit price,Total,payment,,filter,filter by city,filter by customer,filter by gender,filter by product line,filter by payment,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Home and lifestyle,77.04,242.676,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,39.39,206.7975,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Fashion accessories,73.52,154.392,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,71.92,377.58,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Food and beverages,87.8,829.71,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,83.17,523.971,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Home and lifestyle,25.55,107.31,Ewallet,,,Naypyitaw,Normal,Male,Health and beauty,62.87,132.027,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Electronic accessories,32.71,171.7275,Credit card,,,Naypyitaw,Normal,Female,Food and beverages,16.31,154.1295,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Fashion accessories,74.29,78.0045,Cash,,,Naypyitaw,Normal,Male,Home and lifestyle,16.67,122.5245,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Health and beauty,43.7,91.77,Cash,,,Naypyitaw,Member,Female,Food and beverages,87.48,551.124,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Home and lifestyle,25.29,26.5545,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,75.88,79.674,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Health and beauty,41.5,174.3,Credit card,,,Naypyitaw,Member,Male,Electronic accessories,18.77,118.251,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Food and beverages,71.39,374.7975,Credit card,,,Naypyitaw,Normal,Male,Electronic accessories,22.21,139.923,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Sports and travel,19.15,120.645,Credit card,,,Naypyitaw,Member,Female,Food and beverages,98.52,1034.46,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Electronic accessories,57.49,241.458,Cash,,,Naypyitaw,Normal,Male,Food and beverages,89.2,936.6,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Electronic accessories,61.41,451.3635,Cash,,,Naypyitaw,Normal,Female,Sports and travel,49.33,517.965,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Health and beauty,25.9,271.95,Ewallet,,,Naypyitaw,Normal,Female,Sports and travel,73.98,543.753,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Home and lifestyle,17.77,93.2925,Credit card,,,Naypyitaw,Normal,Male,Food and beverages,31.77,133.434,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Health and beauty,23.03,217.6335,Ewallet,,,Naypyitaw,Normal,Male,Food and beverages,27.22,85.743,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Electronic accessories,66.65,629.8425,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,92.98,195.258,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Home and lifestyle,28.53,299.565,Ewallet,,,Naypyitaw,Normal,Male,Fashion accessories,59.61,625.905,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Fashion accessories,30.37,95.6655,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,46.53,293.139,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Electronic accessories,99.73,942.4485,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,24.24,178.164,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Electronic accessories,26.23,247.8735,Ewallet,,,Naypyitaw,Normal,Female,Sports and travel,46.66,440.937,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Food and beverages,93.26,881.307,Cash,,,Naypyitaw,Normal,Female,Fashion accessories,36.85,193.4625,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Home and lifestyle,92.36,484.89,Ewallet,,,Naypyitaw,Normal,Male,Electronic accessories,83.08,87.234,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Sports and travel,46.42,146.223,Credit card,,,Naypyitaw,Normal,Female,Fashion accessories,64.99,68.2395,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Sports and travel,29.61,217.6335,Cash,,,Naypyitaw,Normal,Male,Food and beverages,77.56,814.38,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Home and lifestyle,18.28,19.194,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,51.89,381.3915,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Sports and travel,24.77,130.0425,Cash,,,Naypyitaw,Member,Female,Food and beverages,49.79,209.118,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Electronic accessories,94.64,298.116,Cash,,,Naypyitaw,Member,Female,Food and beverages,98.97,935.2665,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Fashion accessories,94.87,796.908,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,80.93,84.9765,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Food and beverages,57.34,180.621,Credit card,,,Naypyitaw,Member,Male,Electronic accessories,87.91,461.5275,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Electronic accessories,45.35,285.705,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,43.46,273.798,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Food and beverages,62.08,456.288,Ewallet,,,Naypyitaw,Normal,Female,Electronic accessories,46.2,48.51,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Electronic accessories,11.81,62.0025,Cash,,,Naypyitaw,Member,Female,Electronic accessories,88.55,743.82,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Fashion accessories,12.54,13.167,Cash,,,Naypyitaw,Member,Female,Food and beverages,72.52,609.168,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Food and beverages,43.25,90.825,Cash,,,Naypyitaw,Member,Male,Electronic accessories,12.05,63.2625,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Sports and travel,87.16,183.036,Credit card,,,Naypyitaw,Normal,Male,Health and beauty,70.21,442.323,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Health and beauty,69.37,655.5465,Ewallet,,,Naypyitaw,Member,Female,Sports and travel,15.49,32.529,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Electronic accessories,37.06,155.652,Ewallet,,,Naypyitaw,Normal,Male,Electronic accessories,24.74,259.77,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Electronic accessories,90.7,571.41,Cash,,,Naypyitaw,Normal,Female,Electronic accessories,99.69,104.6745,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Home and lifestyle,63.42,532.728,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,17.14,125.979,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Fashion accessories,81.37,170.877,Cash,,,Naypyitaw,Member,Female,Food and beverages,87.1,914.55,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Electronic accessories,10.59,33.3585,Credit card,,,Naypyitaw,Normal,Female,Sports and travel,98.8,207.48,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Health and beauty,84.09,794.6505,Cash,,,Naypyitaw,Member,Female,Health and beauty,47.71,300.573,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Fashion accessories,73.82,310.044,Cash,,,Naypyitaw,Normal,Male,Health and beauty,33.64,282.576,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Health and beauty,51.94,545.37,Ewallet,,,Naypyitaw,Normal,Male,Health and beauty,58.95,618.975,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Sports and travel,93.14,195.594,Ewallet,,,Naypyitaw,Normal,Female,Fashion accessories,49.32,310.716,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Health and beauty,17.41,91.4025,Credit card,,,Naypyitaw,Member,Male,Sports and travel,72.88,153.048,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Fashion accessories,44.22,232.155,Credit card,,,Naypyitaw,Member,Female,Sports and travel,70.19,663.2955,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Electronic accessories,13.22,69.405,Cash,,,Naypyitaw,Member,Male,Food and beverages,55.04,404.544,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Fashion accessories,89.69,94.1745,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,73.38,539.343,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Food and beverages,24.94,235.683,Credit card,,,Naypyitaw,Normal,Female,Food and beverages,52.6,497.07,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Health and beauty,59.77,125.517,Credit card,,,Naypyitaw,Normal,Male,Home and lifestyle,97.5,1023.75,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Fashion accessories,93.2,195.72,Credit card,,,Naypyitaw,Normal,Female,Fashion accessories,60.41,507.444,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,62.65,263.13,Cash,,,Naypyitaw,Member,Male,Food and beverages,68.98,72.429,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Home and lifestyle,93.87,788.508,Credit card,,,Naypyitaw,Normal,Male,Fashion accessories,15.62,131.208,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,47.59,399.756,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,75.53,317.226,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Electronic accessories,81.4,256.41,Cash,,,Naypyitaw,Normal,Female,Electronic accessories,77.63,733.6035,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Fashion accessories,17.94,94.185,Ewallet,,,Naypyitaw,Normal,Female,Health and beauty,13.85,130.8825,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Electronic accessories,77.72,326.424,Credit card,,,Naypyitaw,Member,Male,Fashion accessories,98.7,829.08,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Food and beverages,73.06,536.991,Credit card,,,Naypyitaw,Member,Female,Sports and travel,90.63,856.4535,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Food and beverages,46.55,439.8975,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,36.77,270.2595,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Fashion accessories,35.19,369.495,Credit card,,,Naypyitaw,Member,Female,Health and beauty,28.5,239.4,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Sports and travel,14.39,30.219,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,55.57,175.0455,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Home and lifestyle,23.75,99.75,Cash,,,Naypyitaw,Normal,Male,Fashion accessories,97.26,408.492,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,58.9,494.76,Cash,,,Naypyitaw,Member,Male,Health and beauty,81.95,860.475,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Fashion accessories,32.62,137.004,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,81.2,596.82,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Electronic accessories,66.35,69.6675,Credit card,,,Naypyitaw,Normal,Male,Electronic accessories,58.76,616.98,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,25.91,163.233,Ewallet,,,Naypyitaw,Normal,Male,Home and lifestyle,55.61,408.7335,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Electronic accessories,32.25,135.45,Ewallet,,,Naypyitaw,Normal,Male,Food and beverages,84.83,89.0715,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Electronic accessories,65.94,276.948,Credit card,,,Naypyitaw,Member,Female,Sports and travel,31.67,266.028,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Electronic accessories,75.06,709.317,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,38.42,40.341,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Fashion accessories,16.45,69.09,Ewallet,,,Naypyitaw,Member,Female,Home and lifestyle,10.53,55.2825,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Fashion accessories,38.3,160.86,Cash,,,Naypyitaw,Member,Male,Health and beauty,81.23,597.0405,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Sports and travel,22.24,233.52,Cash,,,Naypyitaw,Member,Female,Fashion accessories,84.87,267.3405,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Sports and travel,54.45,57.1725,Ewallet,,,Naypyitaw,Normal,Female,Fashion accessories,76.06,239.589,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Sports and travel,98.4,723.24,Credit card,,,Naypyitaw,Member,Female,Health and beauty,85.87,631.1445,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Home and lifestyle,35.47,148.974,Credit card,,,Naypyitaw,Member,Female,Sports and travel,67.99,499.7265,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Food and beverages,74.6,783.3,Cash,,,Naypyitaw,Normal,Female,Food and beverages,52.42,55.041,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,70.74,297.108,Credit card,,,Naypyitaw,Member,Male,Food and beverages,65.65,137.865,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Home and lifestyle,35.54,373.17,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,65.31,480.0285,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Sports and travel,67.43,354.0075,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,25.25,132.5625,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Health and beauty,21.12,44.352,Cash,,,Naypyitaw,Normal,Male,Health and beauty,21.8,183.12,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Home and lifestyle,21.54,203.553,Credit card,,,Naypyitaw,Normal,Female,Home and lifestyle,44.01,369.684,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Home and lifestyle,12.03,25.263,Cash,,,Naypyitaw,Member,Female,Health and beauty,10.16,53.34,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Health and beauty,99.71,628.173,Ewallet,,,Naypyitaw,Normal,Male,Electronic accessories,71.89,603.876,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Fashion accessories,47.97,352.5795,Cash,,,Naypyitaw,Normal,Female,Health and beauty,10.99,57.6975,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Home and lifestyle,21.82,229.11,Cash,,,Naypyitaw,Member,Male,Health and beauty,60.47,190.4805,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Fashion accessories,95.42,400.764,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,68.55,287.91,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Fashion accessories,70.99,745.395,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,60.87,63.9135,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Sports and travel,44.02,462.21,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,86.69,455.1225,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Home and lifestyle,69.96,587.664,Credit card,,,Naypyitaw,Member,Female,Electronic accessories,30.2,253.68,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Home and lifestyle,37,38.85,Credit card,,,Naypyitaw,Member,Male,Fashion accessories,67.39,495.3165,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Sports and travel,15.34,16.107,Cash,,,Naypyitaw,Normal,Female,Fashion accessories,62.18,652.89,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Health and beauty,99.83,628.929,Ewallet,,,Naypyitaw,Member,Female,Sports and travel,64.97,341.0925,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Health and beauty,47.67,200.214,Cash,,,Naypyitaw,Normal,Female,Fashion accessories,45.44,333.984,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Health and beauty,66.68,350.07,Cash,,,Naypyitaw,Member,Male,Sports and travel,10.17,10.6785,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Home and lifestyle,74.86,78.603,Cash,,,Naypyitaw,Normal,Male,Electronic accessories,64.95,681.975,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Sports and travel,23.75,224.4375,Cash,,,Naypyitaw,Normal,Male,Electronic accessories,55.87,586.635,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Food and beverages,48.51,356.5485,Credit card,,,Naypyitaw,Member,Female,Sports and travel,29.22,184.086,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Home and lifestyle,94.88,697.368,Cash,,,Naypyitaw,Member,Female,Food and beverages,14.87,31.227,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Electronic accessories,40.3,423.15,Credit card,,,Naypyitaw,Normal,Female,Sports and travel,22.38,23.499,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Electronic accessories,27.85,204.6975,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,72.88,688.716,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Electronic accessories,62.48,65.604,Cash,,,Naypyitaw,Normal,Male,Health and beauty,53.19,390.9465,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Food and beverages,36.36,76.356,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,86.27,90.5835,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Health and beauty,18.11,190.155,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,33.81,106.5015,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Electronic accessories,51.92,272.58,Cash,,,Naypyitaw,Member,Female,Health and beauty,62.82,131.922,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Electronic accessories,28.84,121.128,Cash,,,Naypyitaw,Member,Male,Food and beverages,24.31,76.5765,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,78.38,493.794,Ewallet,,,Naypyitaw,Normal,Male,Fashion accessories,56.5,59.325,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,60.01,252.042,Cash,,,Naypyitaw,Normal,Male,Home and lifestyle,65.26,548.184,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Home and lifestyle,88.61,93.0405,Cash,,,Naypyitaw,Member,Male,Fashion accessories,52.35,54.9675,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Fashion accessories,99.82,209.622,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,10.18,85.512,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Health and beauty,39.01,40.9605,Credit card,,,Naypyitaw,Normal,Female,Fashion accessories,12.19,102.396,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Food and beverages,48.61,51.0405,Cash,,,Naypyitaw,Normal,Female,Health and beauty,83.66,439.215,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Electronic accessories,51.19,214.998,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,92.49,485.5725,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Electronic accessories,14.96,125.664,Cash,,,Naypyitaw,Normal,Male,Fashion accessories,60.74,446.439,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Electronic accessories,72.2,530.67,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,47.27,297.801,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Sports and travel,40.23,295.6905,Cash,,,Naypyitaw,Member,Male,Health and beauty,85.6,629.16,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Home and lifestyle,88.79,745.836,Cash,,,Naypyitaw,Member,Female,Electronic accessories,44.84,423.738,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Electronic accessories,26.48,83.412,Ewallet,,,Naypyitaw,Normal,Female,Health and beauty,58.32,122.472,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Fashion accessories,81.91,172.011,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,78.38,329.196,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Sports and travel,79.93,503.559,Cash,,,Naypyitaw,Normal,Male,Health and beauty,84.61,888.405,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Fashion accessories,69.33,145.593,Ewallet,,,Naypyitaw,Normal,Female,Electronic accessories,56.13,235.746,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Food and beverages,14.23,74.7075,Credit card,,,Naypyitaw,Normal,Female,Electronic accessories,35.49,223.587,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Health and beauty,15.55,146.9475,Cash,,,Naypyitaw,Member,Male,Sports and travel,42.85,44.9925,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Electronic accessories,78.13,820.365,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,35.79,338.2155,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Food and beverages,99.37,208.677,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,12.73,26.733,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Food and beverages,21.08,66.402,Cash,,,Naypyitaw,Normal,Female,Sports and travel,83.14,611.079,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Electronic accessories,74.79,392.6475,Cash,,,Naypyitaw,Member,Female,Sports and travel,35.22,221.886,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Health and beauty,29.67,218.0745,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,83.35,175.035,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Health and beauty,44.07,185.094,Ewallet,,,Naypyitaw,Normal,Male,Health and beauty,64.08,470.988,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Food and beverages,22.93,216.6885,Cash,,,Naypyitaw,Member,Male,Home and lifestyle,85.72,270.018,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Health and beauty,39.42,41.391,Cash,,,Naypyitaw,Normal,Female,Health and beauty,78.89,579.8415,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Health and beauty,15.26,96.138,Ewallet,,,Naypyitaw,Normal,Female,Food and beverages,57.29,360.927,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
